AK,1256
AL,61359
AR,30821
AZ,52710
CA,194150
CO,24328
CT,13309
DE,5527
FL,152171
GA,74877
HI,3345
IA,19254
ID,12090
IL,68449
IN,70749
KS,22846
KY,40713
LA,60407
MA,39993
MD,32508
ME,11590
MI,87660
MN,28611
MO,48824
MS,29753
MT,7155
NC,90744
ND,4930
NE,10105
NH,4832
NJ,29848
NM,9880
NV,19877
NY,79231
OH,90661
OK,34678
OR,29770
PA,100362
RI,7251
SC,40430
SD,6171
TN,75963
TX,130529
UT,10794
VA,43841
VT,4536
WA,44599
WI,41173
WV,19743
WY,4624
